,Score,Offense,Defense,Expected Points,,,,,,,,,,,,,,,,,,,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,11-Sep,4:25PM ET,boxscore,W,,Jan-00,,Green Bay Packers,23,7,19,395,269,126,,21,338,227,111,2,9.99,1.89,1.12
2,Mon,19-Sep,8:30PM ET,boxscore,L,,1-Jan,@,Philadelphia Eagles,7,24,20,264,202,62,3,25,486,323,163,1,-7.86,-14.26,7.37
3,Sun,25-Sep,1:00PM ET,boxscore,W,,1-Feb,,Detroit Lions,28,24,30,373,250,123,1,23,416,277,139,1,11.58,-8.25,1.93
4,Sun,2-Oct,9:30AM ET,boxscore,W,,1-Mar,@,New Orleans Saints,28,25,23,344,263,81,1,19,338,227,111,2,6.41,-7.36,2.69
5,Sun,9-Oct,1:00PM ET,boxscore,W,,1-Apr,,Chicago Bears,29,22,29,429,312,117,1,14,271,193,78,1,21.45,-1.82,-9.74
6,Sun,16-Oct,1:00PM ET,boxscore,W,,1-May,@,Miami Dolphins,24,16,11,234,156,78,,23,458,385,73,3,-4.43,8.38,4.75
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,30-Oct,1:00PM ET,boxscore,W,,1-Jun,,Arizona Cardinals,34,26,25,381,208,173,1,25,375,297,78,3,10.22,-2.87,3.71
9,Sun,6-Nov,1:00PM ET,boxscore,W,,1-Jul,@,Washington Commanders,20,17,17,301,245,56,1,18,263,126,137,1,-2.12,1.76,2.55
10,Sun,13-Nov,1:00PM ET,boxscore,W,OT,1-Aug,@,Buffalo Bills,33,30,24,481,334,147,2,29,486,311,175,4,4.8,-1.45,0.39
11,Sun,20-Nov,4:25PM ET,boxscore,L,,2-Aug,,Dallas Cowboys,3,40,16,183,110,73,1,23,458,307,151,,-14.35,-24.31,0.94
12,Thu,24-Nov,8:20PM ET,boxscore,W,,2-Sep,,New England Patriots,33,26,23,358,301,57,1,17,409,364,45,,9.14,-11.53,7.59
13,Sun,4-Dec,1:00PM ET,boxscore,,,,,New York Jets,,,,,,,,,,,,,,,
14,Sun,11-Dec,1:00PM ET,preview,,,,@,Detroit Lions,,,,,,,,,,,,,,,
15,Sun,18-Dec,1:00PM ET,preview,,,,,Indianapolis Colts,,,,,,,,,,,,,,,
16,Sat,24-Dec,1:00PM ET,preview,,,,,New York Giants,,,,,,,,,,,,,,,
17,Sun,1-Jan,4:25PM ET,preview,,,,@,Green Bay Packers,,,,,,,,,,,,,,,
18,Sun,8-Jan,1:00PM ET,preview,,,,@,Chicago Bears,,,,,,,,,,,,,,,